,FC,N,H,Cl,Br,I,P,F,Se,Si,S_sp3,S_sp2,S_sp,C_sp3,C_sp2,C_sp,N_sp3,N_sp2,N_sp,O_sp3,O_sp2,O_sp,I1,I2,I3,SV
2688,0.0,216.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2385.343379107201,5444.942778772488,7200.585871054512,4.564
2689,0.0,172.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1573.27720473535,3365.3014726820593,4743.849152411286,
2690,0.0,262.0,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2038.6049327883322,7401.303829713309,8205.070421599507,
2691,0.0,248.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,1675.9026247988866,3307.511587848029,4512.850848509011,
2692,0.0,182.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,701.4206707890236,5543.786668848667,5792.904947283576,
2693,0.0,168.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2010.6449198165672,2245.446418375583,4112.031927112927,
2694,0.0,76.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,113.3596351737633,323.37919335253,330.5986670338359,
2695,0.0,198.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1497.4854394125268,7136.438287595439,8136.981411401783,
2696,0.0,168.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2095.389542246356,2187.4249218222153,3771.918099371626,
2698,0.0,76.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,170.39880379550186,554.7555513837078,725.1543551736199,
2699,0.0,154.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1414.8046679484714,1896.5580372465383,2930.1680062733194,
2700,0.0,182.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,854.4337776482215,4119.79377912218,4384.8787583647445,17790.0
2701,0.0,210.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1113.815355052736,4482.959126977693,4773.898048272565,
2702,0.0,118.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,485.62166701971785,1386.3770367748732,1770.5106697639512,
2703,0.0,224.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1086.8741109907978,11974.01859228756,12825.31666932362,
2704,0.0,110.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,295.7755807030067,2079.047743093865,2189.431789207185,
2705,0.0,150.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,619.9040989191565,3629.1816532790185,3654.5060071697603,
2706,0.0,408.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,0.0,8444.883364644727,10662.958697273776,16030.658937788112,
2707,0.0,128.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,537.4899467484621,2418.375416356851,2825.4495730363546,
2708,0.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.23500465092977,78.88485426710604,140.06974507901668,
